Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
Xaml_BuildSelection_Title,Window title for build selection dialog,ビルド選択,Build Selection,构建选择,建置選擇,빌드 선택,Selección de build,اختيار البناء,Pilih build,
Xaml_BuildSelection_BuildNumber,Build number label in build selection dialog,ビルド番号,Build Number,构建编号,建置編號,빌드 번호,Número de build,رقم البناء,Nomor build,
Xaml_Common_Cancel,Common cancel button label,キャンセル,Cancel,取消,取消,취소,Cancelar,إلغاء,Batal,
Xaml_Common_Apply,Common apply button label,適用,Apply,应用,套用,적용,Aplicar,تطبيق,Terapkan,
Xaml_Common_Refresh,Common refresh button label,更新,Refresh,刷新,重新整理,새로 고침,Actualizar,تحديث,Segarkan,
Xaml_Common_Save,Common save button label,保存,Save,保存,儲存,저장,Guardar,حفظ,Simpan,
Xaml_Common_Add,Common add button label,追加,Add,添加,新增,추가,Añadir,إضافة,Tambah,
Xaml_AuditLog_Title,Window title for audit log,監査ログ / 変更履歴,Audit Log / Change History,审计日志 / 变更历史,稽核記錄 / 變更歷程,감사 로그 / 변경 이력,Registro de auditoría / Historial de cambios,سجل التدقيق / سجل التغييرات,Log audit / Riwayat perubahan,
Xaml_AuditLog_DisplayCount,Display count label in audit log,表示件数,Displayed Count,显示条数,顯示筆數,표시 건수,Cantidad mostrada,عدد العناصر المعروضة,Jumlah ditampilkan,
Xaml_AuditLog_HeaderTimestampUtc,Audit log column header for UTC timestamp,日時(UTC),Timestamp (UTC),时间(UTC),時間(UTC),시간(UTC),Fecha y hora (UTC),الوقت (UTC),Waktu (UTC),
Xaml_AuditLog_HeaderCategory,Audit log column header for category,カテゴリ,Category,类别,類別,카테고리,Categoría,الفئة,Kategori,
Xaml_AuditLog_HeaderAction,Audit log column header for action,操作,Action,操作,操作,작업,Acción,الإجراء,Tindakan,
Xaml_AuditLog_HeaderEntityId,Audit log column header for entity id,対象ID,Target ID,目标ID,目標ID,대상 ID,ID objetivo,معرّف الهدف,ID target,
Xaml_AuditLog_HeaderProperty,Audit log column header for property,項目,Property,字段,欄位,항목,Campo,الحقل,Properti,
Xaml_AuditLog_HeaderBefore,Audit log column header for before value,変更前/内容,Before / Content,变更前/内容,變更前/內容,변경 전/내용,Antes / Contenido,قبل / المحتوى,Sebelum / Konten,
Xaml_AuditLog_HeaderAfter,Audit log column header for after value,変更後,After,变更后,变更後,변경 후,Después,بعد,Sesudah,
Xaml_AuditLog_HeaderActor,Audit log column header for actor,実行者,Actor,执行者,執行者,실행자,Ejecutor,المنفذ,Pelaku,
Xaml_StructuredLog_Title,Window title for structured log,構造化ログ,Structured Log,结构化日志,結構化日誌,구조화 로그,Registro estructurado,السجل المنظّم,Log terstruktur,
Xaml_StructuredLog_MaxItems,Maximum items label in structured log,最大件数,Max Items,最大条数,最大筆數,최대 항목 수,Máximo de elementos,الحد الأقصى للعناصر,Jumlah maksimum,
Xaml_StructuredLog_Reload,Reload button label in structured log,再読込,Reload,重新加载,重新載入,다시 불러오기,Recargar,إعادة تحميل,Muat ulang,
Xaml_StructuredLog_ClearLogs,Clear logs button label,ログ削除,Clear Logs,清除日志,清除日誌,로그 삭제,Borrar registros,حذف السجلات,Hapus log,
Xaml_StructuredLog_Folder,Open folder button label,フォルダ,Folder,文件夹,資料夾,폴더,Carpeta,مجلد,Folder,
Xaml_StructuredLog_Level,Level filter label in structured log,レベル,Level,级别,層級,레벨,Nivel,المستوى,Level,
Xaml_StructuredLog_Category,Category filter label in structured log,カテゴリ,Category,类别,類別,카테고리,Categoría,الفئة,Kategori,
Xaml_StructuredLog_Operation,Operation filter label in structured log,操作,Operation,操作,操作,작업,Operación,العملية,Operasi,
Xaml_StructuredLog_ServerId,Server id filter label in structured log,サーバーID,Server ID,服务器ID,伺服器ID,서버 ID,ID del servidor,معرّف الخادم,ID server,
Xaml_StructuredLog_Search,Search filter label in structured log,検索,Search,搜索,搜尋,검색,Buscar,بحث,Cari,
Xaml_StructuredLog_ResetFilter,Reset filter button label,フィルタ解除,Reset Filters,重置筛选,清除篩選,필터 초기화,Restablecer filtros,إعادة تعيين عوامل التصفية,Atur ulang filter,
Xaml_StructuredLog_HeaderTimestampUtc,Structured log column header for UTC timestamp,時刻(UTC),Time (UTC),时间(UTC),時間(UTC),시간(UTC),Hora (UTC),الوقت (UTC),Waktu (UTC),
Xaml_StructuredLog_HeaderLevel,Structured log column header for level,レベル,Level,级别,層級,레벨,Nivel,المستوى,Level,
Xaml_StructuredLog_HeaderCategory,Structured log column header for category,カテゴリ,Category,类别,類別,카테고리,Categoría,الفئة,Kategori,
Xaml_StructuredLog_HeaderOperation,Structured log column header for operation,操作,Operation,操作,操作,작업,Operación,العملية,Operasi,
Xaml_StructuredLog_HeaderServerId,Structured log column header for server id,サーバーID,Server ID,服务器ID,伺服器ID,서버 ID,ID del servidor,معرّف الخادم,ID server,
Xaml_StructuredLog_HeaderProcess,Structured log column header for process,プロセス,Process,进程,程序,프로세스,Proceso,العملية,Proses,
Xaml_StructuredLog_HeaderMessage,Structured log column header for message,メッセージ,Message,消息,訊息,메시지,Mensaje,الرسالة,Pesan,
Xaml_StructuredLog_HeaderException,Structured log column header for exception,例外,Exception,异常,例外,예외,Excepción,الاستثناء,Eksepsi,
Xaml_StructuredLog_HeaderCorrelationId,Structured log column header for correlation id,相関ID,Correlation ID,关联ID,關聯ID,상관 ID,ID de correlación,معرّف الارتباط,ID korelasi,
Xaml_PluginManager_Title,Window title for plugin manager,プラグイン管理,Plugin Manager,插件管理,外掛管理,플러그인 관리,Gestor de plugins,إدارة الإضافات,Manajer plugin,
Xaml_PluginManager_ServerRunningNotice,Notice shown when server is running,サーバー稼働中 — 変更はサーバー再起動後に反映されます,Server is running — changes apply after server restart.,服务器正在运行——更改将在服务器重启后生效。,伺服器執行中——變更會在伺服器重新啟動後生效。,서버 실행 중 — 변경 사항은 서버 재시작 후 적용됩니다.,Servidor en ejecución — los cambios se aplican tras reiniciar.,الخادم قيد التشغيل — سيتم تطبيق التغييرات بعد إعادة التشغيل.,Server sedang berjalan — perubahan berlaku setelah restart.,
Xaml_PluginManager_Install,Install button label in plugin manager,インストール,Install,安装,安裝,설치,Instalar,تثبيت,Pasang,
Xaml_PluginManager_OpenFolder,Open folder button label in plugin manager,フォルダを開く,Open Folder,打开文件夹,開啟資料夾,폴더 열기,Abrir carpeta,فتح المجلد,Buka folder,
Xaml_PluginManager_NoPlugins,Empty state title for plugin list,プラグインがありません,No plugins found,没有插件,沒有外掛程式,플러그인이 없습니다,No hay plugins,لا توجد إضافات,Tidak ada plugin,
Xaml_PluginManager_DropOrInstallHint,Hint for drag and drop or install button,JARファイルをここにドラッグ & ドロップするかインストールボタンを押してください,Drag and drop JAR files here or use the Install button.,将 JAR 文件拖放到此处或使用安装按钮。,將 JAR 檔拖放到此處或使用安裝按鈕。,JAR 파일을 여기에 끌어다 놓거나 설치 버튼을 누르세요.,Arrastra JAR aquí o usa el botón Instalar.,اسحب ملفات JAR هنا أو استخدم زر التثبيت.,Seret file JAR ke sini atau gunakan tombol Pasang.,
Xaml_PluginManager_DropToInstall,Overlay text for drag and drop install,ここにドロップしてインストール,Drop here to install,拖放到此处安装,拖放到此處安裝,여기에 놓아 설치,Soltar aquí para instalar,أسقط هنا للتثبيت,Jatuhkan di sini untuk pemasang,
Xaml_PluginManager_Uninstall,Uninstall button label in plugin manager,アンインストール,Uninstall,卸载,解除安裝,제거,Desinstalar,إلغاء التثبيت,Copot,
Xaml_OperationsCenter_Title,Window title for operations center,運用ダッシュボード,Operations Dashboard,运维仪表板,營運儀表板,운영 대시보드,Panel de operaciones,لوحة العمليات,Dasbor operasi,
Xaml_OperationsCenter_HeaderJobName,Operations center column header for job name,ジョブ名,Job Name,作业名,工作名稱,작업 이름,Nombre del trabajo,اسم المهمة,Nama pekerjaan,
Xaml_OperationsCenter_HeaderServerId,Operations center column header for server id,サーバーID,Server ID,服务器ID,伺服器ID,서버 ID,ID del servidor,معرّف الخادم,ID server,
Xaml_OperationsCenter_HeaderStatus,Operations center column header for status,状態,Status,状态,狀態,상태,Estado,الحالة,Status,
Xaml_OperationsCenter_HeaderAttempt,Operations center column header for attempt count,試行回数,Attempts,尝试次数,嘗試次數,시도 횟수,Intentos,عدد المحاولات,Jumlah percobaan,
Xaml_OperationsCenter_HeaderMaxAttempt,Operations center column header for max attempts,最大試行,Max Attempts,最大尝试,最大嘗試,최대 시도,Intentos máximos,الحد الأقصى للمحاولات,Maksimum percobaan,
